id,geohash,is_dispatch
B001C06WAK,wm3vxf,1.0
B001C8028Q,wm3vxf,1.0
B0FFFABM3L,wm3vxf,1.0
B001C7XXFF,wm3vxf,1.0
B0FFGAV2ZV,wm3vxf,1.0
B0FFFABOHP,wm3vxf,1.0
B001C097N0,wm3vxf,1.0
B0FFH01UBT,wm3vxf,1.0
B001C08DUR,wm3vxf,1.0
B001C8MQBZ,wm3vxf,1.0
B001C8N382,wm3vxf,1.0
B001C8MSKG,wm3vxf,1.0
B001C03EC1,wm3vxf,1.0
B001C7Y4WL,wm3vxf,1.0
B0FFFABMAH,wm3vxf,1.0
B001C8OBCP,wm3vxf,1.0
B001C7VT7A,wm3vxf,1.0
B0FFG0X533,wm3vxf,1.0
B001C060GA,wm3vxf,1.0
B0FFFABUY6,wm3vxf,1.0
B001C8MP7O,wm3vxf,1.0
B001C7SGCO,wm3vxf,1.0
B0FFGB4JW0,wm3vxf,1.0
B001C7V812,wm3vxf,1.0
B0FFFABEWI,wm3vxf,1.0
B001C8U8SY,wm3vxf,1.0
B001C802W9,wm3vxf,1.0
B001C09T27,wm3vxf,1.0
B0FFHC56VI,wm3vxf,1.0
B001C7SAHV,wm3vxf,1.0
B0FFFABE1G,wm3vxf,1.0
B001C090R9,wm3vxf,1.0
B001C04D2B,wm3vxf,1.0
B001C7SAFP,wm3vxf,1.0
B001C7SENS,wm3vxf,1.0
B001C7V426,wm3vxf,1.0
B001C9252F,wm3vxf,1.0
B001C8N48V,wm3vxf,1.0
B001C09T8R,wm3vxf,1.0
B0FFFAD0L8,wm3vxf,1.0
B001C7UWG1,wm3vxf,1.0
B0FFFAB51G,wm3vxf,1.0
B0FFJEGDEQ,wm3vxf,1.0
B001C09MFA,wm3vxf,1.0
B001C7XQ6K,wm3vxf,1.0
B001C7XWGC,wm3vxf,1.0
B001C7TIQG,wm3vxf,1.0
B001C7UW41,wm3vxf,1.0
B001C8MPND,wm3vxf,1.0
B0FFHVEWY7,wm3vxf,1.0
B0FFGY6UPL,wm3vxf,1.0
B0FFGAL9LU,wm3vxf,1.0
B001C8N493,wm3vxf,1.0
